,Ticker,Company Name,Industry,Country,Market Cap
5323,MKL,Markel Corp,Insurance,US,16028.858072398933
5326,MLM,Martin Marietta Materials Inc,Construction,US,21244.633039389963
5330,MMC,Marsh & McLennan Companies Inc,Insurance,US,79977.56552203839
5333,MMM,3M Co,Industrial Conglomerates,US,69292.31813494947
5334,MMP,Magellan Midstream Partners LP,Energy ,US,10683.27759057277
5343,MO,Altria Group Inc,Tobacco,US,81037.04948391009
5347,MOH,Molina Healthcare Inc,Health Care,US,19650.58120283513
5348,MOS,Mosaic Co,Chemicals,US,18934.4522827994
5352,MPC,Marathon Petroleum Corp,Energy ,US,49428.60355996672
5354,MPLX,MPLX LP,Energy ,US,32937.14837054602
5361,MRK,Merck & Co Inc,Pharmaceuticals,US,218444.71969884864
5362,MRO,Marathon Oil Corp,Energy ,US,17420.671737541736
5363,MS,Morgan Stanley,Financial Services,US,148333.7886452176
5367,MSCI,MSCI Inc,Financial Services,US,36383.302811710855
5371,MSI,Motorola Solutions Inc,Communications,US,40681.58828276591
5375,MTB,M&T Bank Corp,Banking,US,31744.754500157625
5377,MTD,Mettler-Toledo International Inc,Life Sciences Tools & Services,US,26895.84686459939
5431,NEE,Nextera Energy Inc,Utilities,US,167222.35970901643
5432,NEM,Newmont Corporation,Metals & Mining,US,33072.66551828037
5434,NET,Cloudflare Inc,Technology,US,19225.19996424427
5452,NI,NiSource Inc,Utilities,US,11995.911051599394
5462,NKE,Nike Inc,"Textiles, Apparel & Luxury Goods",US,165869.32131568616
5467,NLSN,Nielsen Holdings PLC,Professional Services,US,10021.386444291862
5468,NLY,Annaly Capital Management Inc,Real Estate,US,11001.078901
5484,NOC,Northrop Grumman Corp,Aerospace & Defense,US,73789.5574305409
5492,NOW,ServiceNow Inc,Technology,US,87771.01950247715
5511,NSC,Norfolk Southern Corp,Road & Rail,US,56195.87236609148
5524,NUE,Nucor Corp,Metals & Mining,US,34236.29705209003
5533,NVR,NVR Inc,Consumer products,US,13436.375160279991
5553,O,Realty Income Corp,Real Estate,US,42273.174815
5571,OKE,ONEOK Inc,Energy ,US,27057.50721306284
5575,OMC,Omnicom Group Inc,Media,US,13572.88103260504
5593,ORCL,Oracle Corp,Technology,US,199016.68364229213
5601,OTIS,Otis Worldwide Corp,Machinery,US,30322.81728630968
5604,OVV,Ovintiv Inc,Energy ,US,13419.276007265387
5605,OWL,Blue Owl Capital Inc,Financial Services,US,15107.018012007273
5608,OXY,Occidental Petroleum Corp,Energy ,US,64058.70237373083
5621,PAYC,Paycom Software Inc,Technology,US,20676.67630879984
5631,PCG,PG&E Corp,Utilities,US,24945.235540411017
5646,PEAK,Healthpeak Properties Inc,Real Estate,US,14317.046054
5648,PEG,Public Service Enterprise Group Inc,Utilities,US,31932.04028530542
5653,PFE,Pfizer Inc,Pharmaceuticals,US,256484.49459620623
5655,PRU,Prudential Financial Inc,Insurance,US,35299.080453617564
5662,PG,Procter & Gamble Co,Consumer products,US,327751.2190463023
5664,PGR,Progressive Corp,Insurance,US,71599.46310775483
5670,PH,Parker-Hannifin Corp,Machinery,US,34010.10180247555
5686,PINS,Pinterest Inc,Media,US,14863.304595945914
5692,PKG,Packaging Corp of America,Packaging,US,12758.941364280996
5693,PKI,PerkinElmer Inc,Life Sciences Tools & Services,US,16988.481070976723
5696,PLD,Prologis Inc,Real Estate,US,94671.231671
